"Início dos relatórios","Encerramento dos relatórios","Nome da campanha","Veiculação da campanha","Configuração de atribuição",Resultados,"Indicador de resultados",Alcance,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Término,Impressões,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link",shop_clicks,"CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Visualizações da página de destino","Custo por visualização da página de destino (BRL)"
2025-12-01,2026-05-06,"[ProspectaFreela] [VENDAS] [ PERPÉTUO ]",not_delivering,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",229,actions:offsite_conversion.fb_pixel_purchase,77516,2.688077,21.06471616,"Usando o orçamento do conjunto de anúncios",0,4823.82,Contínuo,208369,23.150373,6230,,0.774289,2.989888,7379,3.541314,0.653723,445,10.840045
2025-12-01,2026-05-06,"[FL] Vendas Certa",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,1301,1.164489,,50,Diário,71.06,Contínuo,1515,46.90429,19,,3.74,1.254125,33,2.178218,2.153333,,
2025-12-01,2026-05-06,"[FL] Vendas [Perpetua]",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",1,actions:offsite_conversion.fb_pixel_purchase,4660,1.071245,150.32,100,Diário,150.32,Contínuo,4992,30.112179,41,,3.666341,0.821314,64,1.282051,2.34875,2,75.16
2025-12-01,2026-05-06,[NERGES][VENDAS][Perpetuo],inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",9,actions:offsite_conversion.fb_pixel_purchase,13118,1.76315,85.09222222,160,Diário,765.83,Contínuo,23129,33.111246,755,,1.014344,3.2643,863,3.731246,0.887404,1,765.83
2025-12-01,2026-05-06,[Trafego][Seguidores][Aberto],inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,
2025-12-01,2026-05-06,"[VENDAS][CBO][40Brl] - UNUSED",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,
2025-12-01,2026-05-06,"[VENDAS][ABO][100brl] ADV+ Campanha",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,
2025-12-01,2026-05-06,[VENDAS][ABO][CriativoNovo][100brl][NaoConverteu],inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,
2025-12-01,2026-05-06,[VENDAS][CBO][80Brl][NovoCriativo],inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,
2025-12-01,2026-05-06,[VENDAS][CBO][50Brl][Novembro],inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,
2025-12-01,2026-05-06,[VENDAS][CBO][70brl][Curso],inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,60,Diário,0,Contínuo,0,0,,,,,0,0,0,,
2025-12-01,2026-05-06,[VENDAS][CBO][50Brl][Novembro][2],inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,
2025-12-01,2026-05-06,[VENDA][MENSAGEM][70brl][Curso],inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,35,Diário,0,Contínuo,0,0,,,,,0,0,0,,
